# gunzip -c exp/tri3b/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3b/graph 
# Started at Tue May  7 16:41:48 KST 2019
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.9,52) frames.
Overall, i_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,20) frames.
Overall, MM_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, e_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.0,44) frames.
Overall, OO_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.9,24) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, c_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,22) frames.
Overall, p_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,19) frames.
Overall, g1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,19) frames.
Overall, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, t_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,21) frames.
Overall, wa_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,18) frames.
Overall, s1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,20) frames.
Overall, v_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.4,35) frames.
Overall, we_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,20) frames.
Overall, wi_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,21.2,45) frames.
The optional-silence phone SIL occupies 37.0% of frames overall 
Limiting the stats to the 63.0% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 1.9% of frames.
Assuming 100 frames per second, the alignments represent 9.0 hours of data, or 5.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 1.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (12,17.2,47)
# Accounting: time=0 threads=1
# Ended (code 0) at Tue May  7 16:41:48 KST 2019, elapsed time 0 seconds
